reviewId,content,score,thumbsUpCount,reviewCreatedVersion,at,appVersion,appTitle,appId,country,lang,content_clean
4c00e344-ebb7-486d-b0ed-8ef2b0fa0cbb,The lack of support for Octopus Intelligent Go is frustrating. I can't understand why this has been removed; it's the most popular EV tariff in the UK. This change has cost me money and time trying to remedy it... and for what? what was the upside to BMW from making this change?,1,0,5.11.4,2026-03-13 09:10:35,5.11.4,My BMW,de.bmw.connected.mobile20.row,us,en,the lack of support for octopus intelligent go is frustrating i cant understand why this has been removed its the most popular ev tariff in the uk this change has cost me money and time trying to remedy it and for what what was the upside to bmw from making this change
10e6a5b0-fef0-4d57-8124-c9b7e5c7deb8,Hi there My bmw app doesn't update vehicle finder (last parked location) since last app update. Everything else is working fine.  I restarted my phone and bmw app but no luck. Could you help?,3,0,5.11.4,2026-03-13 08:35:57,5.11.4,My BMW,de.bmw.connected.mobile20.row,us,en,hi there my bmw app doesnt update vehicle finder last parked location since last app update everything else is working fine  i restarted my phone and bmw app but no luck could you help
2a6e2ae2-6aa4-488a-83a3-17852718d068,its not working,1,0,5.11.4,2026-03-13 06:16:29,5.11.4,My BMW,de.bmw.connected.mobile20.row,us,en,its not working
5e796288-b7fc-48cb-b901-04b4a2b37dd7,"Shows car in wrong location, i have been to the location maybe a week ago. Tried clearing cache resetting, and still the wrong location. (There is no problem with the car itself just the android app)",4,0,5.11.4,2026-03-12 21:43:38,5.11.4,My BMW,de.bmw.connected.mobile20.row,us,en,shows car in wrong location i have been to the location maybe a week ago tried clearing cache resetting and still the wrong location there is no problem with the car itself just the android app
71b3d332-f208-4ea8-9b94-bbd2bff555e3,not able to login at all. says incorrect password when i am able login via browser and ios app,1,0,5.11.4,2026-03-11 03:27:12,5.11.4,My BMW,de.bmw.connected.mobile20.row,us,en,not able to login at all says incorrect password when i am able login via browser and ios app
d370698e-b6bd-4f3f-9181-0e903f07cccf,remote not working after reset,1,0,5.11.4,2026-03-10 03:38:13,5.11.4,My BMW,de.bmw.connected.mobile20.row,us,en,remote not working after reset
fb7fb9f2-75ad-4660-8c9d-ad05bae0739d,every time I tap on the widget to open the app it starts remote heating/cooling. if i tap on lock sometimes it doesn't lock but starts ventilation,3,0,5.11.4,2026-03-07 16:35:07,5.11.4,My BMW,de.bmw.connected.mobile20.row,us,en,every time i tap on the widget to open the app it starts remote heatingcooling if i tap on lock sometimes it doesnt lock but starts ventilation
86b51f94-88da-42b0-87ac-fcbe94e86ea8,"I have a vehicle with comfort access and a Samsung Galaxy S26 Ultra that has UWB, yet I just cannot set up my phone as a digital key. BMW support have confirmed that everything is supported by the car and in my country. So the problem is simply in the app that wouldn't properly support a car from 2020. How ridiculous is that for the premium we paid not only for the vehicle, but also for Connected Drive services.",2,0,5.11.4,2026-03-07 14:42:54,5.11.4,My BMW,de.bmw.connected.mobile20.row,us,en,i have a vehicle with comfort access and a samsung galaxy s26 ultra that has uwb yet i just cannot set up my phone as a digital key bmw support have confirmed that everything is supported by the car and in my country so the problem is simply in the app that wouldnt properly support a car from 2020 how ridiculous is that for the premium we paid not only for the vehicle but also for connected drive services
20f31dc9-de57-46c7-b503-2fdc2ca757c4,Can't add my e34 and e39 :/,1,0,5.11.4,2026-03-07 09:50:37,5.11.4,My BMW,de.bmw.connected.mobile20.row,us,en,cant add my e34 and e39
dffdfe4f-70a8-40f2-b684-ba6a5858fe55,BMW stands for its reliability n performance in the road. i'll highly recommend the service centre at Section 14 PJ with and their services. Their service ambassador Prem has been outstanding and exceptional experienced. definitely my go to place for my car service...,5,0,5.11.3,2026-03-07 07:47:33,5.11.3,My BMW,de.bmw.connected.mobile20.row,us,en,bmw stands for its reliability n performance in the road ill highly recommend the service centre at section 14 pj with and their services their service ambassador prem has been outstanding and exceptional experienced definitely my go to place for my car service
c5ede41f-899b-4f78-8a0a-58052c3727fc,"To have my BMW charge overnight in a 'time slot', I have to preprogram a departure time. Why? Why should it be necessary to set a departure time before it will allow me to charge overnight? It makes no sense. Was the software designed by Franz Kafka?",2,0,5.11.4,2026-03-05 08:46:07,5.11.4,My BMW,de.bmw.connected.mobile20.row,us,en,to have my bmw charge overnight in a time slot i have to preprogram a departure time why why should it be necessary to set a departure time before it will allow me to charge overnight it makes no sense was the software designed by franz kafka
36a14702-aa9d-4908-bdd8-56863e3c6918,"Loss of push notifications issue is now fixed - thank you. Since the January update I am unable to schedule service items from nominated or other dealers - ""No services or repairs available. We are currently unable to retrieve available services or repair""",2,2,5.11.4,2026-03-04 01:13:00,5.11.4,My BMW,de.bmw.connected.mobile20.row,us,en,loss of push notifications issue is now fixed  thank you since the january update i am unable to schedule service items from nominated or other dealers  no services or repairs available we are currently unable to retrieve available services or repair
